date,pizza,burger,sushi,pasta,salad,steak,tacos,sandwich,noodles,omelette,burrito,risotto,dumplings,ravioli,lasagna,paella,curry,falafel,quiche,wrap,gyros,shawarma,bruschetta,calzone,fajitas,enchiladas,gnocchi,meatballs,wings,pancakes,waffles,crepes,donuts,tiramisu,cheesecake,brownie,bread,apple,banana,orange,grape,strawberry,blueberry,pineapple,kiwi,mango,pear,bread,milk,eggs,butter,cheese,yogurt,chicken,beef,pork,fish,rice,pasta,vegetables,fruits,cereal,sugar,salt,pepper,olive oil,vinegar,total,hour,is_holiday
2024-10-30 15:00:00,35,11,10,14,31,28,18,27,42,8,19,18,28,20,36,21,63,7,15,52,43,62,20,10,12,16,45,34,33,9,4,5,59,23,36,27,13,85,12,32,20,55,24,28,11,36,9,50,53,24,32,47,4,40,11,6,64,44,55,7,25,8,71,48,61,19,31,1966,15,0
2024-10-30 16:00:00,40,12,12,16,36,32,21,28,47,8,25,27,36,23,43,25,73,8,21,51,50,68,25,15,16,17,53,41,37,8,4,6,55,24,38,28,15,83,13,31,21,57,23,29,11,38,9,56,54,25,33,52,4,48,12,7,64,51,60,7,23,8,75,49,68,21,33,2149,16,0
2024-10-30 17:00:00,45,13,13,17,35,35,24,28,50,10,23,34,35,25,42,26,72,8,25,51,48,66,25,16,18,20,60,45,37,8,4,5,52,24,39,28,15,86,13,32,22,57,24,32,11,38,10,56,56,24,34,53,4,48,13,7,68,50,64,8,23,8,73,50,72,20,35,2212,17,0
2024-10-30 18:00:00,45,14,13,15,35,37,25,26,49,11,24,32,36,27,45,28,74,8,21,54,45,65,27,15,19,21,61,39,39,7,4,5,54,24,42,32,15,85,13,32,21,61,25,33,12,39,10,56,55,25,36,54,4,48,13,8,68,50,59,7,23,8,77,51,74,20,33,2233,18,0
2024-10-30 19:00:00,43,13,12,15,36,77,24,29,50,8,23,22,35,29,47,24,66,7,14,55,39,65,23,16,21,22,50,50,43,7,4,5,57,25,47,30,15,83,12,32,22,62,27,36,12,39,10,56,54,24,39,59,4,57,15,13,68,52,57,7,21,9,79,54,72,23,33,2279,19,0
2024-10-30 20:00:00,45,11,12,14,36,42,25,28,49,7,22,16,38,26,56,21,63,6,13,55,34,59,22,16,18,23,43,61,47,9,4,4,58,24,49,32,15,85,12,32,24,64,26,33,13,41,8,57,55,25,40,64,5,55,15,10,68,57,53,8,22,9,79,53,75,22,36,2249,20,0
2024-10-30 21:00:00,56,14,14,15,43,100,28,35,61,6,26,15,44,28,61,19,66,6,12,59,32,68,22,17,23,29,43,70,60,9,5,4,65,19,53,28,17,93,13,32,26,71,30,41,13,43,8,65,58,29,45,72,5,78,19,18,73,67,58,8,23,9,87,58,84,25,44,2567,21,0
2024-10-30 22:00:00,60,15,15,15,47,64,32,32,71,6,29,20,50,29,61,18,76,7,10,61,31,71,21,18,21,31,44,80,70,9,5,4,72,16,57,31,19,94,15,32,27,79,32,40,12,39,8,72,62,33,47,79,5,75,19,14,75,72,59,8,23,9,89,60,87,26,45,2655,22,0
2024-10-30 23:00:00,57,14,15,14,48,64,32,32,74,6,30,13,48,27,58,16,76,7,9,59,26,76,20,17,19,29,38,71,82,9,6,4,73,14,58,32,20,95,14,30,27,85,31,41,11,34,7,75,64,34,51,78,5,73,19,13,80,77,53,9,25,12,95,61,88,31,47,2658,23,0
2024-10-31 00:00:00,49,12,13,12,43,53,30,29,65,5,31,9,45,22,49,15,73,6,7,57,18,62,17,15,14,25,31,59,75,8,5,3,73,11,53,28,18,90,14,29,28,84,31,43,11,27,7,67,66,34,49,72,5,64,16,11,79,67,45,8,25,11,92,59,85,28,43,2430,0,0
2024-10-31 01:00:00,40,11,11,10,37,43,27,26,53,5,25,7,35,18,38,13,73,5,7,57,16,59,15,12,10,20,23,49,71,7,5,3,67,11,56,23,16,86,14,26,26,85,28,40,10,26,7,61,67,32,45,63,5,54,14,9,74,62,38,9,24,11,89,55,79,25,43,2211,1,0
2024-10-31 02:00:00,32,11,10,8,34,35,22,24,45,5,21,6,30,14,34,11,80,4,6,55,15,49,11,9,8,17,18,37,63,6,4,2,63,10,48,20,15,89,13,25,25,82,29,43,10,24,7,56,67,29,41,56,5,44,13,7,76,57,32,7,26,11,85,54,74,24,38,2031,2,0
2024-10-31 03:00:00,27,9,8,7,28,28,19,21,40,5,17,5,26,10,26,10,71,3,5,45,13,46,9,8,5,13,15,28,43,6,3,2,45,10,37,16,12,78,11,22,21,72,25,36,10,23,6,47,65,24,35,47,4,37,11,6,70,51,27,7,25,8,81,51,60,22,37,1740,3,0
2024-10-31 04:00:00,22,8,7,6,24,24,15,16,39,4,15,6,20,9,21,8,62,3,5,40,11,34,10,7,5,10,14,22,33,5,3,2,44,11,32,13,10,75,10,22,19,61,21,31,8,25,5,39,59,21,30,39,4,32,9,5,65,48,25,7,26,7,72,45,54,19,31,1534,4,0
2024-10-31 05:00:00,19,6,6,6,19,18,10,14,31,5,11,8,20,10,19,9,56,3,6,37,14,35,9,7,4,7,17,17,23,6,2,2,31,12,26,12,8,70,9,21,17,53,18,27,10,27,4,32,57,17,25,32,3,27,8,4,61,44,24,7,25,5,61,38,44,17,27,1359,5,0
2024-10-31 06:00:00,18,6,6,7,16,17,7,14,32,5,8,11,17,10,17,10,47,3,7,30,20,32,10,4,4,5,20,14,18,7,2,2,25,15,25,13,7,63,8,22,13,44,16,23,11,32,4,28,50,14,22,26,3,24,6,4,53,39,28,6,24,4,55,33,39,15,24,1244,6,0
2024-10-31 07:00:00,20,7,6,8,17,16,7,13,27,5,9,14,17,11,18,13,50,4,10,30,25,31,12,6,5,5,29,12,16,10,1,3,22,19,23,15,7,66,9,26,13,38,15,21,12,34,4,27,47,13,21,25,2,22,7,4,50,36,30,5,23,4,49,29,36,14,21,1246,7,0
2024-10-31 08:00:00,23,7,7,9,16,17,8,14,27,6,7,17,16,13,20,15,52,4,12,31,34,34,13,6,5,5,33,12,16,11,2,3,26,23,23,18,7,68,9,28,13,36,14,20,12,37,4,27,45,14,19,25,2,21,6,3,48,33,34,5,23,4,47,30,34,14,21,1288,8,0
2024-10-31 09:00:00,22,8,7,10,15,16,6,18,26,7,10,20,15,15,20,16,50,5,13,29,37,35,16,6,6,5,39,12,16,9,2,3,29,24,26,20,7,66,10,29,12,38,14,19,12,37,4,28,45,14,20,25,2,22,6,3,45,31,38,5,23,4,46,31,36,14,20,1319,9,0
2024-10-31 10:00:00,23,9,10,11,17,18,8,13,27,7,9,25,15,18,22,20,55,5,16,32,46,42,14,9,7,5,44,16,18,9,2,3,40,27,29,21,8,68,10,29,13,39,16,19,11,37,4,31,45,17,21,28,2,23,7,4,47,32,44,5,23,4,48,30,38,14,22,1431,10,0
2024-10-31 11:00:00,25,10,10,12,18,19,9,17,30,9,10,28,16,19,25,22,55,6,15,37,42,42,19,10,8,6,48,20,18,9,3,3,56,26,27,21,9,67,10,26,14,41,17,20,11,37,5,33,45,17,23,30,2,24,7,4,49,33,47,5,23,5,52,32,42,15,23,1518,11,0
2024-10-31 12:00:00,24,10,9,12,19,20,10,18,28,8,13,19,19,20,26,21,53,6,13,40,39,43,19,10,8,7,40,22,21,9,3,3,64,25,27,22,9,69,11,28,16,47,19,23,11,36,7,36,46,20,24,34,3,26,8,4,54,34,46,5,22,5,57,33,46,15,28,1572,12,0
2024-10-31 13:00:00,26,10,9,11,20,21,10,18,29,7,15,15,18,17,26,20,53,6,12,40,37,47,16,9,8,7,33,26,24,9,4,4,65,25,29,25,11,67,11,28,17,50,21,25,11,31,8,42,46,21,27,37,3,29,8,5,52,36,44,6,23,6,63,37,48,15,26,1605,13,0
2024-10-31 14:00:00,33,10,9,11,23,22,13,20,29,6,18,16,22,18,30,19,52,6,13,43,40,50,17,10,10,10,34,31,30,9,3,4,65,25,32,26,12,73,12,29,18,57,22,25,10,34,8,45,46,23,27,41,4,31,9,5,56,37,43,6,23,7,67,42,52,16,27,1716,14,0
2024-10-31 15:00:00,47,12,12,12,28,26,18,23,34,6,23,20,27,20,35,19,56,7,16,46,49,60,22,11,12,13,40,36,34,8,4,5,57,25,36,27,13,77,12,31,21,57,23,27,11,34,9,49,50,23,31,45,4,37,10,6,59,40,47,6,23,7,73,46,60,19,30,1906,15,0
2024-10-31 16:00:00,53,13,13,14,32,31,21,27,44,7,26,25,32,22,40,22,68,8,18,49,58,64,28,16,13,17,52,42,38,8,4,5,57,27,40,27,14,77,12,33,20,59,24,29,11,33,9,53,54,23,33,49,4,43,12,7,68,45,54,7,22,7,75,47,65,21,29,2100,16,0
2024-10-31 17:00:00,59,14,15,15,33,35,25,26,46,8,26,33,36,28,42,27,72,8,22,50,65,67,26,17,17,18,54,47,38,7,4,5,57,28,43,29,14,80,13,33,21,63,25,27,11,37,10,52,54,25,35,55,4,45,12,7,69,46,57,7,22,8,76,49,68,20,32,2219,17,0
2024-10-31 18:00:00,65,15,15,15,31,36,26,26,46,9,26,30,33,28,43,26,69,7,17,52,55,65,27,17,18,18,48,45,41,6,4,5,53,26,41,29,15,83,12,32,23,65,23,31,11,40,9,56,55,25,35,57,4,44,13,7,70,49,57,7,21,8,75,54,68,20,31,2213,18,0
2024-10-31 19:00:00,71,15,14,13,31,36,25,25,46,7,27,25,34,26,44,23,66,8,12,51,47,64,23,19,16,21,45,49,45,7,4,4,53,24,43,30,15,82,12,32,23,66,26,33,12,37,9,56,54,23,36,61,4,48,13,8,69,46,52,7,21,8,78,53,71,20,34,2202,19,0
2024-10-31 20:00:00,79,15,13,13,32,39,25,25,45,6,28,17,35,23,45,21,62,6,11,54,40,64,23,18,16,21,42,51,49,7,4,4,53,24,47,28,15,95,12,32,23,75,27,36,12,41,7,56,54,24,37,61,4,51,14,9,69,50,49,7,23,8,79,52,73,22,35,2237,20,0
2024-10-31 21:00:00,81,16,14,13,35,45,28,25,52,6,28,14,38,25,50,18,61,7,9,54,37,72,23,18,16,22,36,56,59,8,4,4,53,19,47,27,16,96,12,32,25,76,26,38,13,41,7,60,56,25,39,64,4,56,15,10,75,53,50,7,22,8,80,54,76,24,36,2316,21,0
2024-10-31 22:00:00,86,16,15,12,35,52,30,26,59,5,31,13,40,27,49,18,67,7,9,55,36,74,19,19,16,24,36,58,67,8,5,4,54,16,50,25,16,94,14,34,24,82,28,40,13,38,7,60,58,28,42,67,4,61,15,11,73,59,47,7,22,8,83,55,79,24,39,2395,22,0
2024-10-31 23:00:00,92,16,16,12,37,50,31,25,54,5,36,10,41,24,46,15,64,6,8,52,27,74,16,18,15,21,29,54,72,7,4,4,52,13,51,25,16,90,13,29,26,84,29,38,12,32,7,62,60,29,42,63,5,58,15,10,75,59,45,7,22,9,85,53,84,25,40,2346,23,0
2024-11-01 00:00:00,71,14,14,10,35,44,29,25,49,5,29,8,36,18,37,13,64,5,7,47,23,67,14,16,12,18,24,43,64,6,4,3,49,11,49,23,15,82,13,26,24,83,27,38,10,26,6,58,63,27,41,59,4,50,14,9,73,54,40,7,22,9,86,50,84,24,33,2143,0,0
2024-11-01 01:00:00,54,13,12,9,31,39,28,23,48,5,25,7,34,15,33,11,64,5,6,49,20,55,15,15,10,16,21,36,56,6,4,3,47,11,47,20,14,79,12,25,25,84,28,39,10,23,7,53,61,27,38,59,4,44,12,8,76,52,34,7,21,9,86,50,78,23,35,2016,1,0
2024-11-01 02:00:00,41,11,9,8,28,32,25,19,42,4,22,6,28,12,26,10,60,3,5,48,14,50,11,10,7,11,15,30,49,6,4,2,42,9,42,17,12,79,11,23,22,74,25,42,9,23,6,46,63,24,33,48,4,39,10,7,68,50,30,7,23,9,79,49,65,22,32,1792,2,0
2024-11-01 03:00:00,35,11,8,7,42,32,25,19,43,5,20,8,28,15,30,11,62,4,5,45,13,46,18,9,8,13,18,33,43,6,4,2,39,10,44,15,12,81,11,24,23,79,27,44,9,24,7,44,63,24,35,49,4,38,10,8,70,52,29,8,25,8,79,50,69,21,35,1838,3,0
2024-11-01 04:00:00,26,9,7,6,22,22,19,15,35,4,15,5,19,8,19,9,53,3,5,40,11,40,9,6,4,9,10,20,35,5,3,2,31,10,30,12,10,73,10,20,18,62,21,31,9,24,5,38,65,19,28,37,3,31,9,5,65,46,23,7,27,6,71,45,48,19,30,1483,4,0
2024-11-01 05:00:00,22,8,6,6,20,19,13,13,33,5,11,7,21,8,17,9,50,3,5,35,14,36,10,6,4,6,14,17,27,6,2,2,24,11,28,12,8,67,9,20,15,52,19,28,9,27,4,32,61,16,23,31,3,28,7,5,62,44,23,7,27,5,63,39,44,17,27,1352,5,0
2024-11-01 06:00:00,22,7,6,7,18,17,9,12,32,5,8,11,20,9,18,11,46,3,6,33,20,29,10,5,3,5,22,12,20,9,2,3,20,15,25,12,7,62,8,20,14,44,16,24,10,31,4,28,52,14,22,27,3,25,7,4,58,38,28,6,25,4,54,33,38,14,22,1254,6,0
2024-11-01 07:00:00,23,7,6,9,18,18,8,13,32,6,9,18,20,14,17,14,50,4,10,32,27,32,12,7,4,5,31,12,19,15,2,5,23,22,27,14,7,63,9,23,14,43,15,22,13,36,4,28,51,13,22,25,3,23,7,4,58,37,34,6,25,3,50,31,37,15,22,1328,7,0
2024-11-01 08:00:00,23,8,7,10,15,18,7,13,29,7,8,25,18,15,20,19,52,4,13,29,30,33,16,7,6,5,42,10,16,15,2,6,23,27,28,17,8,69,9,24,13,39,15,21,13,37,4,29,47,14,21,26,3,22,6,4,53,34,39,5,26,3,47,30,38,15,21,1358,8,0
2024-11-01 09:00:00,24,9,8,11,16,18,7,13,28,8,8,27,18,18,22,22,54,5,16,33,36,39,18,8,7,6,50,13,16,13,2,6,29,30,30,20,8,70,10,25,13,38,18,21,11,37,4,30,47,15,21,27,3,23,7,4,52,34,42,5,25,4,48,30,37,15,24,1436,9,0
2024-11-01 10:00:00,25,11,10,13,17,21,10,17,29,9,10,39,18,21,25,29,58,5,19,33,41,44,21,11,8,6,55,14,16,12,2,5,33,31,31,22,9,70,10,25,12,38,17,20,12,38,4,33,47,16,22,29,3,24,7,4,57,31,49,5,25,4,51,31,41,14,24,1543,10,0
